,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,pid,sid
0,217.17930007,1330.81699991,40.8440999985,0.00209999084473,0.111500024796,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0007
1,220.595400095,1321.00849986,40.8440999985,0.00209999084473,0.111500024796,exp1,ucsd.edu,pilot.0003,rp.session.radical.mingtha.017033.0007
2,448.921200037,1096.9770999,40.8440999985,0.00209999084473,0.111500024796,exp1,ucsd.edu,pilot.0000,rp.session.radical.mingtha.017033.0007
3,275.008300066,1274.1006,40.8440999985,0.00209999084473,0.111500024796,exp1,ucsd.edu,pilot.0001,rp.session.radical.mingtha.017033.0007
4,172.308600187,4668.05949998,32.665599823,0.00190019607544,0.115899801254,exp1,icecube.wisc.edu,pilot.0002,rp.session.radical.mingtha.017033.0008
5,172.400000095,4670.07949996,32.665599823,0.00190019607544,0.115899801254,exp1,icecube.wisc.edu,pilot.0003,rp.session.radical.mingtha.017033.0008
6,171.311200142,4665.83200002,32.665599823,0.00190019607544,0.115899801254,exp1,icecube.wisc.edu,pilot.0000,rp.session.radical.mingtha.017033.0008
7,125.983500004,4708.05290008,32.665599823,0.00190019607544,0.115899801254,exp1,icecube.wisc.edu,pilot.0001,rp.session.radical.mingtha.017033.0008
8,153.793900013,2601.05780005,30.7743000984,0.00219988822937,0.104099988937,exp1,phys.uconn.edu,pilot.0002,rp.session.radical.mingtha.017033.0009
9,235.886600018,2517.9605,30.7743000984,0.00219988822937,0.104099988937,exp1,phys.uconn.edu,pilot.0003,rp.session.radical.mingtha.017033.0009
10,161.545799971,2591.1960001,30.7743000984,0.00219988822937,0.104099988937,exp1,phys.uconn.edu,pilot.0000,rp.session.radical.mingtha.017033.0009
11,211.963200092,2544.90089989,30.7743000984,0.00219988822937,0.104099988937,exp1,phys.uconn.edu,pilot.0001,rp.session.radical.mingtha.017033.0009
12,231.261199951,5838.87980008,25.5676000118,0.00209999084473,0.114300012589,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017034.0002
13,187.415199995,5881.72230005,25.5676000118,0.00209999084473,0.114300012589,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017034.0002
14,135.326200008,5932.70679998,25.5676000118,0.00209999084473,0.114300012589,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017034.0002
15,180.536299944,5894.6236999,25.5676000118,0.00209999084473,0.114300012589,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017034.0002
16,173.415199995,1571.7045002,27.1440999508,0.00219988822937,0.117300033569,exp1,panther.net,pilot.0002,rp.session.radical.mingtha.017034.0003
17,229.393599987,1522.06740022,27.1440999508,0.00219988822937,0.117300033569,exp1,panther.net,pilot.0003,rp.session.radical.mingtha.017034.0003
18,209.106800079,1536.01349998,27.1440999508,0.00219988822937,0.117300033569,exp1,panther.net,pilot.0000,rp.session.radical.mingtha.017034.0003
19,137.844900131,1609.38969994,27.1440999508,0.00219988822937,0.117300033569,exp1,panther.net,pilot.0001,rp.session.radical.mingtha.017034.0003
20,170.11259985,3223.52240014,26.4455001354,0.0019998550415,0.120000123978,exp1,panther.net,pilot.0002,rp.session.radical.mingtha.017034.0004
21,230.020700216,3163.61429977,26.4455001354,0.0019998550415,0.120000123978,exp1,panther.net,pilot.0003,rp.session.radical.mingtha.017034.0004
22,204.359799862,3189.27520013,26.4455001354,0.0019998550415,0.120000123978,exp1,panther.net,pilot.0000,rp.session.radical.mingtha.017034.0004
23,171.872200012,3221.76279998,26.4455001354,0.0019998550415,0.120000123978,exp1,panther.net,pilot.0001,rp.session.radical.mingtha.017034.0004
24,237.510400057,2107.29290009,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017034.0005
25,247.587599993,2097.21570015,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017034.0005
26,207.119400024,2137.68390012,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017034.0005
27,246.176399946,2098.6269002,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017034.0005
28,257.352399826,3123.19440007,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017034.0006
29,207.142299891,3172.39689994,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017034.0006
30,177.04129982,3201.49070001,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017034.0006
31,192.647300005,3182.76889992,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017034.0006
32,214.726500034,1626.62750006,25.5981998444,0.00220012664795,0.102999925613,exp1,,pilot.0002,rp.session.radical.mingtha.017035.0003
