,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,nhost,npilot,npilot_active,nunit,session
rp.session.radical.mingtha.017033.0007,448.941200018,1331.90959978,40.8440999985,0.00209999084473,0.111500024796,1596.39350009,1295.32829976,0.0180995464325,0.0223002433777,953.178099871,0.00730013847351,0.260299921036,exp1,3.0,4.0,4.0,16.0,<radical.analytics.session.Session object at 0x14c8f4990>
rp.session.radical.mingtha.017033.0008,172.400000095,4716.49600005,32.665599823,0.00190019607544,0.115899801254,4904.58279991,4684.34589982,0.0894980430603,0.0920004844666,4281.25379992,0.0374999046326,0.408600091934,exp1,3.0,4.0,4.0,64.0,<radical.analytics.session.Session object at 0x15d2fa750>
rp.session.radical.mingtha.017033.0009,235.886600018,2603.06019998,30.7743000984,0.00219988822937,0.104099988937,2796.65349984,2576.71399999,0.0403001308441,0.0445003509521,2212.59010005,0.0104999542236,0.961600065231,exp1,4.0,4.0,4.0,32.0,<radical.analytics.session.Session object at 0x158ba7850>
rp.session.radical.mingtha.017034.0002,231.251199961,5939.83379984,25.5676000118,0.00209999084473,0.114300012589,6110.72230005,5912.59609985,0.123701095581,0.106798410416,5429.89540005,0.0215001106262,0.517499923706,exp1,4.0,4.0,4.0,64.0,<radical.analytics.session.Session object at 0x10e535290>
rp.session.radical.mingtha.017034.0003,229.393599987,1613.61610007,27.1440999508,0.00219988822937,0.117300033569,1802.51469994,1584.00740004,0.0252006053925,0.0269989967346,1184.09669995,0.00859999656677,0.765799999237,exp1,4.0,4.0,4.0,16.0,<radical.analytics.session.Session object at 0x10e1bc590>
rp.session.radical.mingtha.017034.0004,230.030699968,3223.52240014,26.4455001354,0.0019998550415,0.120000123978,3428.55369997,2980.3888998,0.0471999645233,0.0552008152008,2500.02749991,0.0143001079559,0.298899888992,exp1,4.0,4.0,4.0,32.0,<radical.analytics.session.Session object at 0x1440cfa90>
rp.session.radical.mingtha.017034.0005,247.607599974,2137.66390014,26.2370998859,0.00209999084473,0.134700059891,2377.89849997,1886.58590007,0.0182003974915,0.325200557709,1283.01469994,0.00799989700317,0.228699922562,exp1,2.0,4.0,4.0,16.0,<radical.analytics.session.Session object at 0x137ee9b10>
rp.session.radical.mingtha.017034.0006,257.342399836,3203.51550007,25.5355000496,0.00209999084473,0.121799945831,3419.98370004,3173.30019999,0.0487995147705,0.0464994907379,2568.67689991,0.0153000354767,0.286499977112,exp1,1.0,4.0,4.0,32.0,<radical.analytics.session.Session object at 0x13a2acf10>
rp.session.radical.mingtha.017035.0003,269.210800171,1637.40070009,25.5981998444,0.00220012664795,0.102999925613,1874.73390007,1397.91090012,0.0204999446869,0.0252995491028,1019.05929995,0.00939989089966,0.253900051117,exp1,2.0,4.0,4.0,16.0,<radical.analytics.session.Session object at 0x14a79b610>
rp.session.radical.mingtha.017035.0005,245.155099869,5473.15169978,25.7160000801,0.0019998550415,0.102600097656,5680.66949987,5445.20439982,0.100000143051,0.101900100708,5074.48810005,0.0218999385834,0.413599967957,exp1,3.0,4.0,4.0,64.0,<radical.analytics.session.Session object at 0x10f64ee90>
rp.session.radical.mingtha.017035.0006,233.935600042,1598.16820002,26.0303997993,0.00220012664795,0.110599994659,1793.54929996,1571.21639991,0.0206997394562,0.0240004062653,1149.50300002,0.0106000900269,0.263299942017,exp1,4.0,4.0,4.0,16.0,<radical.analytics.session.Session object at 0x14a946c90>
rp.session.radical.mingtha.017035.0008,222.655800104,7492.52409983,26.0023999214,0.00200009346008,0.104799985886,7748.53040004,7251.27629995,0.107199907303,0.112099885941,6842.62199998,0.0269000530243,1.17219996452,exp1,1.0,4.0,4.0,64.0,<radical.analytics.session.Session object at 0x10f147ed0>
