,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,hid,pid,sid,uid
0,310.489199877,0.00139999389648,0.00130009651184,238.720999956,0.00730013847351,0.260299921036,exp1,phys.uconn.edu,pilot.0001,rp.session.radical.mingtha.017033.0007,unit.000000
1,391.210099936,0.00209999084473,0.00150012969971,0.000900030136108,0.00730013847351,0.259299993515,exp1,b7c6cf8a3ae1.172.19.0.3,pilot.0000,rp.session.radical.mingtha.017033.0007,unit.000001
2,294.90989995,0.00180006027222,0.00139999389648,0.000799894332886,0.00730013847351,0.258499860764,exp1,phys.uconn.edu,pilot.0001,rp.session.radical.mingtha.017033.0007,unit.000002
3,218.723099947,0.00160002708435,0.00129985809326,0.000600099563599,0.00730013847351,0.257599830627,exp1,ucsd.edu,pilot.0003,rp.session.radical.mingtha.017033.0007,unit.000003
4,202.207700014,0.00129985809326,0.00190019607544,187.167299986,0.00730013847351,0.256799936295,exp1,ucsd.edu,pilot.0003,rp.session.radical.mingtha.017033.0007,unit.000004
5,193.197299957,0.00129985809326,0.00150012969971,194.568500042,0.00730013847351,0.255999803543,exp1,ucsd.edu,pilot.0003,rp.session.radical.mingtha.017033.0007,unit.000005
6,283.286800146,0.00139999389648,0.00129985809326,304.589400053,0.00730013847351,0.25519990921,exp1,phys.uconn.edu,pilot.0001,rp.session.radical.mingtha.017033.0007,unit.000006
7,197.196200132,0.00209999084473,0.00149989128113,190.066400051,0.00730013847351,0.254299879074,exp1,ucsd.edu,pilot.0003,rp.session.radical.mingtha.017033.0007,unit.000007
8,239.510599852,0.00159978866577,0.0012001991272,0.000699996948242,0.00730013847351,0.253399848938,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0007,unit.000008
9,210.220400095,0.00159978866577,0.00119996070862,239.513900042,0.00730013847351,0.252599954605,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0007,unit.000009
10,249.258499861,0.00180006027222,0.00139999389648,294.914999962,0.00730013847351,0.251699924469,exp1,phys.uconn.edu,pilot.0001,rp.session.radical.mingtha.017033.0007,unit.000010
11,341.343400002,0.00209999084473,0.00139999389648,391.235800028,0.00730013847351,0.250799894333,exp1,b7c6cf8a3ae1.172.19.0.3,pilot.0000,rp.session.radical.mingtha.017033.0007,unit.000011
12,214.216300011,0.0012001991272,0.00139999389648,199.343099833,0.00730013847351,0.249899864197,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0007,unit.000012
13,197.205699921,0.00160002708435,0.00149989128113,218.727600098,0.00730013847351,0.249099969864,exp1,ucsd.edu,pilot.0003,rp.session.radical.mingtha.017033.0007,unit.000013
14,205.209800005,0.00119996070862,0.00119996070862,202.87319994,0.00730013847351,0.248299837112,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0007,unit.000014
15,342.170799971,0.0010998249054,0.00130009651184,332.428800106,0.00730013847351,0.24749994278,exp1,b7c6cf8a3ae1.172.19.0.3,pilot.0000,rp.session.radical.mingtha.017033.0007,unit.000015
16,200.217299938,0.0010998249054,0.00110006332397,189.687200069,0.0374999046326,0.408600091934,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0008,unit.000000
17,200.217299938,0.00119996070862,0.00119996070862,192.456200123,0.0374999046326,0.407700061798,exp1,ucsd.edu,pilot.0001,rp.session.radical.mingtha.017033.0008,unit.000001
18,201.215600014,0.00119996070862,0.000999927520752,193.093899965,0.0374999046326,0.406800031662,exp1,ucsd.edu,pilot.0001,rp.session.radical.mingtha.017033.0008,unit.000002
19,200.213899851,0.00139999389648,0.00110006332397,188.446799994,0.0374999046326,0.406100034714,exp1,ucsd.edu,pilot.0001,rp.session.radical.mingtha.017033.0008,unit.000003
20,403.096400023,0.00650000572205,0.00200009346008,394.298699856,0.0374999046326,0.405500173569,exp1,icecube.wisc.edu,pilot.0003,rp.session.radical.mingtha.017033.0008,unit.000004
